Dates,CPI,SPY,Unemployment,Home Values
01-03-2017,243.801,236.57,4.4,493555
01-04-2017,244.524,239.49,4.4,496054
01-05-2017,244.733,241.09,4.4,499025
01-06-2017,244.955,246.15,4.3,502380
01-07-2017,244.786,246.7,4.3,503933
01-08-2017,245.519,251.49,4.4,505651
01-09-2017,246.819,258.04,4.2,508021
01-10-2017,246.663,258.97,4.1,512221
01-11-2017,246.669,258.47,4.2,516541
01-12-2017,246.524,257.73,4.1,520836
